Signaux reflechis et transmis pour une structure 
Signal echographique : ser2_25.tam
Milieu incident : eau
Milieu de refraction : eau
Nombre de periodes   1
Couche   1	 : nickel	Epaisseur (mm) : 1.00000000e+01
Epaisseur totale h d'une periode (mm) : 1.00000000e+01
Epaisseur totale H de la plaque (mm) : 1.00000000e+01
Pas frequentiel (MHz) : 9.76562500e-03
Pas temporel (µs) : 5.00000000e-02
Angle d'incidence (degre) : 1.00000000e+01
 



no	temps (µs)	SR	ST
362	1.80500000e+01	-8.80079654e-04	-3.93645009e-03
363	1.81000000e+01	-1.66572659e-03	-1.88398983e-03
364	1.81500000e+01	-1.37139343e-03	2.67351608e-04
365	1.82000000e+01	2.57715518e-04	1.57650086e-03
366	1.82500000e+01	2.37045136e-03	1.78091675e-03
367	1.83000000e+01	3.55652823e-03	1.09815983e-03
368	1.83500000e+01	2.86374402e-03	-9.08583175e-05
369	1.84000000e+01	6.63483306e-04	-1.24659188e-03
370	1.84500000e+01	-1.66528949e-03	-1.71748307e-03
371	1.85000000e+01	-2.85115543e-03	-1.04564735e-03
372	1.85500000e+01	-2.43781826e-03	6.11699468e-04
373	1.86000000e+01	-9.31152320e-04	2.25965846e-03
374	1.86500000e+01	6.57067225e-04	2.64862667e-03
375	1.87000000e+01	1.50900024e-03	1.33968045e-03
376	1.87500000e+01	1.30886452e-03	-8.81561558e-04
377	1.88000000e+01	5.58088111e-04	-2.57262747e-03
378	1.88500000e+01	4.18993312e-04	-2.70622095e-03
379	1.89000000e+01	1.29443139e-03	-1.37910004e-03
380	1.89500000e+01	1.96435506e-03	4.44411279e-04
381	1.90000000e+01	8.10378859e-04	1.70011553e-03
382	1.90500000e+01	-2.30143262e-03	1.82585685e-03
383	1.91000000e+01	-5.45869863e-03	9.83102409e-04
384	1.91500000e+01	-6.17035854e-03	-1.25369927e-04
385	1.92000000e+01	-3.61827969e-03	-7.55856079e-04
386	1.92500000e+01	6.46434124e-04	-6.63027568e-04
387	1.93000000e+01	4.09542018e-03	-7.51204220e-05
388	1.93500000e+01	5.13467671e-03	7.89543552e-04
389	1.94000000e+01	3.89242077e-03	1.63278194e-03
390	1.94500000e+01	1.54717413e-03	1.75002520e-03
391	1.95000000e+01	-6.66488795e-04	5.61070158e-04
392	1.95500000e+01	-1.93945762e-03	-1.63610488e-03
393	1.96000000e+01	-2.07124465e-03	-3.63766441e-03
394	1.96500000e+01	-1.34038434e-03	-4.05125972e-03
395	1.97000000e+01	-1.95599022e-04	-2.43662177e-03
396	1.97500000e+01	8.10679284e-04	2.50590227e-04
397	1.98000000e+01	1.21630488e-03	2.50630221e-03
398	1.98500000e+01	1.00683844e-03	3.28696048e-03
399	1.99000000e+01	4.57956265e-04	2.44769282e-03
400	1.99500000e+01	-2.25457557e-04	6.94474505e-04
401	2.00000000e+01	-8.91147311e-04	-9.80659878e-04
402	2.00500000e+01	-1.34802729e-03	-1.81490062e-03
403	2.01000000e+01	-1.38843266e-03	-1.52927212e-03
404	2.01500000e+01	-8.72963327e-04	-7.29848754e-04
405	2.02000000e+01	6.04520032e-05	-5.02410046e-04
406	2.02500000e+01	9.44083686e-04	-9.62913584e-04
